License,StartLatitude,StartLongitude,StartTime,DestinationLatitude,DestinationLongitude,DestinationTime
1,48.120915,11.554322,2019-07-01 00:03:04,48.100451,11.545499,2019-07-01 00:08:04
2,48.155135,11.533525,2019-07-01 00:03:04,48.163576,11.515973,2019-07-01 00:13:04
3,48.166351,11.562461,2019-07-01 00:03:04,48.151304,11.59885,2019-07-01 00:23:04
4,48.126794,11.570035,2019-07-01 00:13:04,48.142813,11.573468,2019-07-01 00:28:04
5,48.13917,11.556336,2019-07-01 00:03:04,48.114301,11.551703,2019-07-01 00:28:04
6,48.178236,11.591526,2019-07-01 00:13:04,48.178246,11.591535,2019-07-01 00:28:04
7,48.110269,11.577892,2019-07-01 00:18:04,48.110269,11.577891,2019-07-01 00:28:04
8,48.152,11.579107,2019-07-01 00:03:04,48.167225,11.573057,2019-07-01 00:33:04
9,48.153633,11.552699,2019-07-01 00:08:04,48.18278,11.609054,2019-07-01 00:33:04
10,48.137713,11.579186,2019-07-01 00:08:04,48.11386,11.537345,2019-07-01 00:38:04
11,48.138704,11.487958,2019-07-01 00:18:04,48.151489,11.55822,2019-07-01 00:48:04
12,48.173683,11.585825,2019-07-01 00:33:04,48.147704,11.57635,2019-07-01 00:48:04
13,48.164778,11.577509,2019-07-01 00:08:04,48.119863,11.540191,2019-07-01 00:48:04
14,48.145046,11.569031,2019-07-01 00:18:04,48.198383,11.623333,2019-07-01 00:48:04
15,48.145399,11.512869,2019-07-01 00:23:04,48.094455,11.510193,2019-07-01 00:48:04
16,48.134215,11.582519,2019-07-01 00:33:04,48.121032,11.586397,2019-07-01 00:53:04
17,48.189144,11.57039,2019-07-01 00:33:04,48.17599,11.586325,2019-07-01 00:53:04
18,48.131468,11.567414,2019-07-01 00:03:04,48.182298,11.58899,2019-07-01 00:53:04
19,48.149107,11.61395,2019-07-01 00:13:04,48.116473,11.580868,2019-07-01 00:53:04
20,48.112427,11.526105,2019-07-01 00:53:04,48.111739,11.525851,2019-07-01 00:58:04
21,48.157689,11.575826,2019-07-01 00:33:04,48.165911,11.531482,2019-07-01 00:58:04
22,48.128151,11.572862,2019-07-01 00:18:04,48.1461,11.615952,2019-07-01 00:58:04
23,48.121193,11.569709,2019-07-01 00:43:04,48.135421,11.542451,2019-07-01 01:03:04
